VideoID,text_cleaned,cluster,x0_Bert-CLS,x1_Bert-CLS,View Count,Like Count,Comment Count,Channel Title,Channel_Weight
TeWekX9VORg,,0,-6.4141536,-1.5952816,303884,18019,910,JREKML,0.0002458966931212497
ZvRGNzNuUx8,,0,-6.4141536,-1.5952816,30231,969,84,Seara Travels,0.0008360487566122491
8l4FjqCF7sE,,0,-6.4141536,-1.5952816,114,8,4,BookwormHead,0.0008360487566122491
KxyoiLVn_YU,,0,-6.4141536,-1.5952816,13983,858,201,Dustin Backpacks,0.0006967072971768742
AYr7y-JfhN8,,0,-6.4141536,-1.5952824,545825,17279,1896,Beryl Shereshewsky,0.0002458966931212497
w46Fslwmujo,,0,-6.4141536,-1.5952824,2545124,40370,3214,Strictly Dumpling,0.0008360487566122491
BZ243ndklkE,,0,-6.4141536,-1.5952816,534,3,0,William Magtoto,0.0020901218915306227
eKPzWxJ4nKI,,0,-6.4141536,-1.5952816,154870,4262,231,JND,0.0013934145943537484
53xojRfttn8,,0,-6.4141536,-1.5952816,62625,2469,529,Joint Base Podcast,0.0010450609457653113
8KIMFLiprXo,,0,-6.4141536,-1.5952816,115598,4434,207,Pero Like,0.0013934145943537484
O6efGAJXasw,,0,-6.4141536,-1.5952816,9583,468,38,The Commodity,8.038930352040857e-05
W9OyX8n8cRk,,0,-6.4141536,-1.5952816,36045,1604,155,Ken Abroad,0.00015482384381708316
2Ol8aJTPEl4,,0,-6.4141536,-1.5952816,80975,3502,345,Mariah and Bill,0.0013934145943537484
whOVT9bgvg8,,0,-6.4141536,-1.5952816,244863,8997,98,Jeanelleats,0.0005971776832944636
iCCuWDTfYY8,,0,-6.4141536,-1.5952816,41825,2109,282,Ken Abroad,0.00015482384381708316
Eo4HBgsItcU,,0,-6.4141536,-1.5952816,690473,13009,1125,Randy Santel,0.0006967072971768742
kVfqhcWspQw,,0,-6.4141536,-1.5952816,186638,5654,679,Great Big Story,0.0013934145943537484
B7Hi2gCYx0g,,0,-6.4141536,-1.5952824,16166,896,90,The Commodity,8.038930352040857e-05
AV8WgtQu6JE,,0,-6.4141536,-1.5952816,210590,5067,585,Great Big Story,0.0013934145943537484
8G6-h5XFgbM,,0,-6.4141536,-1.5952816,571710,13713,901,otakoyakisoba,0.0005225304728826557
vwIIeiOhTJ0,,0,-6.4141536,-1.5952816,3287307,39088,8964,Origins Explained,0.0020901218915306227
4QJa07djrLY,,0,-6.4141536,-1.5952816,65541,2613,217,Ken Abroad,0.00015482384381708316
lQ_4IeSVUrQ,,0,-6.4141536,-1.5952816,780810,29585,3094,Xiaomanyc 小马在纽约,0.00027868291887074966
Bta_XWrA5lA,,0,-6.4141536,-1.5952816,56086,978,200,Travis Kraft,0.0006967072971768742
YUxJ-pihbXc,,0,-6.4141536,-1.5952816,321091,13453,1018,Beryl Shereshewsky,0.0002458966931212497
-NkPxyvAqzA,,0,-6.4141536,-1.5952816,560813,16375,328,Lifey,0.0006967072971768742
42t6Jk4JXrA,,0,-6.4141536,-1.5952816,80955,2292,308,Harees Ameerali - Royal Sky Holidays,0.00046447153145124943
Z2h_Jj0ahGc,,0,-6.4141536,-1.5952816,2057228,20497,1214,Dave On Arrival,0.0013934145943537484
g7H5W79J3fc,,0,-6.4141536,-1.5952816,145402,0,278,Mia Sandoval,0.0001492944208236159
Lqznip8oO9M,,0,-6.4141536,-1.5952816,20069,928,127,Seara Travels,0.0008360487566122491
z-jA5xiynNE,,0,-6.4141536,-1.5952816,4822,98,5,ABC 7 Chicago,0.0020901218915306227
LuEFNUUXA88,,0,-6.4141536,-1.5952816,6561,231,52,Owl of Asia,0.0008360487566122491
bsTb5vMw1dQ,,0,-6.4141536,-1.5952816,39426,1155,220,Travelwithchris,0.0010450609457653113
I6Fi22hxITM,,0,-6.4141536,-1.5952816,44628,540,140,CarmaProject,0.0020901218915306227
Z7RIYLXahfE,,0,-6.4141536,-1.5952816,2276,304,9,Wistl Family Adventures,0.0013934145943537484
MrEgR1mpbLY,,0,-6.4141536,-1.5952816,52308,2766,567,Dustin Backpacks,0.0006967072971768742
HDb52NrpSyE,,0,-6.4141536,-1.5952816,576246,23683,3387,indigo Yoori,0.0020901218915306227
k3dilnwfcec,,0,-6.4141536,-1.5952816,691547,24312,969,RELL 🕺🏽,0.0005225304728826557
NSzUsGDUYNc,,0,-6.4141536,-1.5952816,9589,511,130,Living abroad,0.0010450609457653113
JR0jhnzM5VU,,0,-6.4141536,-1.5952816,48153,1830,88,Music Game News,0.00011000641534371697
I8q2eutBoXk,,0,-6.4141536,-1.5952816,5323423,117083,10597,Xiaomanyc 小马在纽约,0.00027868291887074966
SOAIc9ONdb4,,0,-6.4141536,-1.5952824,52714,1324,318,Harees Ameerali - Royal Sky Holidays,0.00046447153145124943
MU061QXgKGk,,0,-6.4141536,-1.5952824,658,21,2,FMA Discussion,0.0013934145943537484
dtzX0da4h9k,,0,-6.4141536,-1.5952816,5541828,41536,2075,MANILA GREY,0.0013934145943537484
xq6cedD4-eo,,0,-6.4141536,-1.5952816,3880977,142451,12567,Xiaomanyc 小马在纽约,0.00027868291887074966
jMLdbmElS8w,,0,-6.4141536,-1.5952816,469,18,9,Luckas Kim,0.0010450609457653113
CUlbqob5Njg,,0,-6.4141536,-1.5952816,855,65,15,Psynergic,0.0013934145943537484
dqB5LB7i-30,,0,-6.4141536,-1.5952816,18,1,0,1001 Trips - #1001Trips,0.0020901218915306227
m42_YBQeQ7w,,0,-6.4141536,-1.5952816,24858,1822,134,Dodo Explorers,0.00026126523644132783
ata_KjyCz4M,,0,-6.4141536,-1.5952816,2182,79,3,Captain Steve,0.0020901218915306227
mBTU2jyn6yU,,0,-6.4141536,-1.5952816,19051,1232,87,The Commodity,8.038930352040857e-05
09HUMZrCH3A,,0,-6.4141536,-1.5952816,717197,28185,1575,BuzzFeedVideo,0.0003215572140816343
Ew2DhMIdzF4,,0,-6.4141536,-1.5952816,48557,917,31,Seoul Walker,0.0020901218915306227
kAsWumwTUjQ,,0,-6.4141536,-1.5952816,6050,618,60,TabiEats Food Reviews,0.0013934145943537484
igSoZvr7lnw,,0,-6.4141536,-1.5952824,19014,710,57,Top 5 Scary Videos,0.0020901218915306227
tYlsZMI9Ag8,,0,-6.4141536,-1.5952824,376787,14236,734,Tech Travel Eat by Sujith Bhakthan,0.0013934145943537484
G44IUjZ1vOw,,0,-6.4141536,-1.5952816,18729,804,42,세부부부 CebuCouple,0.0006967072971768742
PEYkAVCG5Ms,,0,-6.4141536,-1.5952816,226239,6061,539,Pailin's Kitchen,0.0013934145943537484
cNJDwmEiie8,,0,-6.4141536,-1.5952816,140048,3904,366,Ken Abroad,0.00015482384381708316
23L8K7nOG_c,,0,-6.4141536,-1.5952816,1569,149,45,Starone TV,0.0008360487566122491
coIXi26Ktk8,,0,-6.4141536,-1.5952816,225461,0,496,Mia Sandoval,0.0001492944208236159
l62LKcUAKgI,,0,-6.4141536,-1.5952816,43292,2312,475,Dustin Backpacks,0.0006967072971768742
SvGbt99BHEg,,0,-6.4141536,-1.5952816,2992262,104070,4206,The Try Guys,0.0010450609457653113
Cf3Xnr120c0,,0,-6.4141536,-1.5952816,1202942,68697,5325,JREKML,0.0002458966931212497
HbJirZgxrSY,,0,-6.4141536,-1.5952816,35764,2372,383,TriFate Lifestyle,0.0002458966931212497
mYaLS7CmGdQ,,0,-6.4141536,-1.5952816,39575,1478,74,BuzzFeedOz,0.0010450609457653113
6Mhtr5yE-kc,,0,-6.4141536,-1.5952816,57097,3488,279,Dany #gotaworldtosee,0.0006967072971768742
FXnVfuiMQjg,,0,-6.4141536,-1.5952816,1173486,22681,6333,UcieczkaDoRaju,0.0010450609457653113
0Cj35oMbb9Q,,0,-6.4141536,-1.5952816,424254,7287,770,Ken Abroad,0.00015482384381708316
YJn6kJcDDTA,,0,-6.4141536,-1.5952816,7836689,251987,49681,The Try Guys,0.0010450609457653113
ZiyjvKUTBjA,,0,-6.4141536,-1.5952816,573394,8250,2155,The YUH Family,0.0010450609457653113
nJUXPpqB6VE,,0,-6.4141536,-1.5952816,5961,318,52,Romanians On The Road,0.0010450609457653113
6v04kR5QDOA,,0,-6.4141536,-1.5952816,65836,2492,259,Always Be Changing,0.0002985888416472318
_79OZZQRZN4,,0,-6.4141536,-1.5952816,1046267,23978,607,Japapino World ジャパピーノ,0.00026126523644132783
AKjlkab1YRo,,0,-6.4141536,-1.5952816,453,14,23,Luckas Kim,0.0010450609457653113
PVXlBphcyYw,,0,-6.4141536,-1.5952816,730,11,0,World Intellectual Property Organization – WIPO,0.0020901218915306227
JZIEfgYvQio,,0,-6.4141536,-1.5952824,2614874,34566,1558,Mark Wiens,0.00041802437830612457
zTCNb5qPw3A,,0,-6.4141536,-1.5952824,18974,1099,209,Japapino World ジャパピーノ,0.00026126523644132783
bxU3BHbt4ZY,,0,-6.4141536,-1.5952816,675363,21588,1442,JoshuaSalom,0.0010450609457653113
SH8YofIJ3zc,,0,-6.4141536,-1.5952816,30773,630,112,Hungry Two Travel,0.0020901218915306227
pIhJ6PLKelg,,0,-6.4141536,-1.5952816,2918,44,3,Luke's HomeTube,0.0010450609457653113
yGULu6ml0mg,,0,-6.4141536,-1.5952816,19882,345,93,BordersLess Asia,0.0013934145943537484
cBXHIQdKWBM,,0,-6.4141536,-1.5952816,17562,242,68,Travis Kraft,0.0006967072971768742
o-I3x_-b9MA,,0,-6.4141536,-1.5952816,189117,6166,1501,itsKEVO,0.0002985888416472318
uy5fH4KJfgU,,0,-6.4141536,-1.5952816,61953,3081,31,Jeanelleats,0.0005971776832944636
zOk103o-LDg,,0,-6.4141536,-1.5952816,3585422,62701,6792,BuzzFeedVideo,0.0003215572140816343
SW4AldBdyk8,,0,-6.4141536,-1.5952816,70720,3406,217,TriFate Lifestyle,0.0002458966931212497
0O2i843tdU4,,0,-6.4141536,-1.5952816,1419681,29189,4343,Go With Ali,0.0013934145943537484
mX9rUsrSadc,,0,-6.4141536,-1.5952816,3074233,83175,13633,Mat Salleh TV,0.0013934145943537484
42sibaGVjY8,,0,-6.4141536,-1.5952816,2030407,58860,8471,Xiaomanyc 小马在纽约,0.00027868291887074966
mEd-p7Qq4jQ,,0,-6.4141536,-1.5952816,14512,74,1,Tosa Dela Yaun,0.0010450609457653113
IiCfEzRvUIQ,,0,-6.4141536,-1.5952816,5785007,58901,5587,Mark Wiens,0.00041802437830612457
ImeZpAX1RIA,,0,-6.4141536,-1.5952816,4993,536,65,Pinoy Planet,4.644715314512495e-05
67n-hrCYiSI,,0,-6.4141536,-1.5952816,155188719,2621954,143327,NOW UNITED,0.0002458966931212497
M1_FZDANQWI,,0,-6.4141536,-1.5952816,33,1,0,TansDipas,0.0010450609457653113
ZFpnR0xpdRI,,0,-6.4141536,-1.5952816,18587,0,82,Mia Sandoval,0.0001492944208236159
TxRwjf8BLmY,,0,-6.4141536,-1.5952816,25305,567,41,Justin Roque,0.0013934145943537484
026urE67c8c,,0,-6.4141536,-1.5952816,111948,3939,497,Ken Abroad,0.00015482384381708316
i3jJKdIw3ms,,0,-6.4141536,-1.5952816,116269,4827,695,Paddy Doyle,0.0006967072971768742
zb79c2x8JY4,,0,-6.4141536,-1.5952824,2368813,38220,2396,Mark Wiens,0.00041802437830612457
WiwntzOmL8s,,0,-6.4141536,-1.5952816,1124,40,33,Marylou Chanel,0.0013934145943537484
HgfUAVbjo80,,0,-6.4141536,-1.5952816,760303,30981,3386,Charles & Alyssa Forever,0.0013934145943537484
NDW-jpl6MZM,,0,-6.4141536,-1.5952816,511090,14508,740,VI3ION,0.00019905922776482118
n6b30Kc9ZOw,,0,-6.4141536,-1.5952816,335005,43238,4743,찬우살이,0.0013934145943537484
pNAjL71DIzA,,0,-6.4141536,-1.5952816,1952072,42030,1529,BuzzFeedVideo,0.0003215572140816343
PviTPnU2ehk,,0,-6.4141536,-1.5952816,641267,14107,755,VI3ION,0.00019905922776482118
unnmgu4MUWA,,0,-6.4141536,-1.5952816,27382,1105,26,세부부부 CebuCouple,0.0006967072971768742
u3GQfQNRsFE,,0,-6.4141536,-1.5952816,56505,1785,27,Fun And Talk,0.0010450609457653113
mBFUFsBtQX8,,0,-6.4141536,-1.5952816,1361689,22573,807,Stephen & Taylor,0.0010450609457653113
YQ5Jv4x_Hp0,,0,-6.4141536,-1.5952816,65974947,1287954,39247,NOW UNITED,0.0002458966931212497
CvGutuE0Klg,,0,-6.4141536,-1.5952816,34483,1484,137,Here Be Barr,0.0013934145943537484
LcsTba_KQXM,,0,-6.4141536,-1.5952816,43053,1771,194,Ken Abroad,0.00015482384381708316
C__iyWJkjgc,,0,-6.4141536,-1.5952816,2191663,25411,5635,Best Ever Food Review Show,0.0008360487566122491
KewTOAuam4s,,0,-6.4141536,-1.5952824,127309,7182,733,Pinoy Planet,4.644715314512495e-05
p8RR0srNNDw,,0,-6.4141536,-1.5952816,53040,2024,133,The Commodity,8.038930352040857e-05
2OT5Pcl4iF0,,0,-6.4141536,-1.5952816,481807,11728,1362,Robyn Kimberly,0.0010450609457653113
vbCWfYUqZIg,,0,-6.4141536,-1.5952816,135671,7492,569,TriFate Lifestyle,0.0002458966931212497
4TcUHcCj6To,,0,-6.4141536,-1.5952816,495058,10490,75,Recipes by Nora,0.0020901218915306227
4tDgX4VizyU,,0,-6.4141536,-1.5952816,784212,10022,1931,It’s Me,0.0013934145943537484
e7eggKProwI,,0,-6.4141536,-1.5952816,4453,417,40,Pinoy Planet,4.644715314512495e-05
ifLKnE2WgPE,,0,-6.4141536,-1.5952816,537368,15975,1409,Beryl Shereshewsky,0.0002458966931212497
ME0ICNval34,,0,-6.4141536,-1.5952816,56203,2866,231,TriFate Lifestyle,0.0002458966931212497
Xfz_kglF6ZU,,0,-6.4141536,-1.5952816,1254673,46938,2905,BuzzFeedVideo,0.0003215572140816343
HkRKi7_Iywc,,0,-6.4141536,-1.5952816,1831908,38491,7401,Dating Beyond Borders,0.0020901218915306227
dKYTWDErNzo,,0,-6.4141536,-1.5952816,431362,9340,507,VI3ION,0.00019905922776482118
f4AsvKY-wBk,,0,-6.4141536,-1.5952816,778707,24173,2969,Beryl Shereshewsky,0.0002458966931212497
rmQDjbvJVik,,0,-6.4141536,-1.5952824,36092,1482,157,Zane Travel,0.0006967072971768742
m-s5vnq0n-w,,0,-6.4141536,-1.5952816,7317,339,0,Maria Dorothy,0.0020901218915306227
7WCTTAGYN5Y,,0,-6.4141536,-1.5952816,290131,6079,469,Pailin's Kitchen,0.0013934145943537484
zCgmAjnTu1o,,0,-6.4141536,-1.5952816,131295,4185,717,Xiaomanyc 小马在纽约,0.00027868291887074966
gnYEDeL-jys,,0,-6.4141536,-1.5952816,10299,731,120,Pinoy Planet,4.644715314512495e-05
vyezxhPOZsg,,0,-6.4141536,-1.5952816,6010,58,3,Top 10 World,0.0013934145943537484
ok1Ig_5oq-w,,0,-6.4141536,-1.5952816,20947,1192,63,Pinoy Planet,4.644715314512495e-05
zpT46etTP6E,,0,-6.4141536,-1.5952816,73296,617,53,GagaOOLala - Find YourStory,0.0008360487566122491
UiK5n3SYb-s,,0,-6.4141536,-1.5952816,102823,2169,108,Paolo fromTOKYO,0.00041802437830612457
KwD4e3ziCb4,,0,-6.4141536,-1.5952816,725422,17885,1318,Isaac & Andrea Vlogs,0.0013934145943537484
2IhEU5rzUOE,,0,-6.4141536,-1.5952816,21210,1482,160,Pinoy Planet,4.644715314512495e-05
WX0t13vt5h4,,0,-6.4141536,-1.5952816,409197,15103,531,Pinoy Planet,4.644715314512495e-05
t1KCgUL62GM,,0,-6.4141536,-1.5952816,37463,918,145,Myer Travels,0.0013934145943537484
KlL-XtnS_ps,,0,-6.4141536,-1.5952816,74026,4019,648,Travel Escapes,0.0005225304728826557
9LnHXmnWMZ8,,0,-6.4141536,-1.5952816,63667,6444,623,CHACHII-CHAN,0.0013934145943537484
nL6f2JVWkzc,,0,-6.4141536,-1.5952816,527898,12901,1562,Tim K,0.0013934145943537484
ZPgfFMFylaY,,0,-6.4141536,-1.5952816,209416,5571,150,VI3ION,0.00019905922776482118
bKCr62Dk7Us,,0,-6.4141536,-1.5952816,31780,1344,147,Grace Kim,0.0013934145943537484
u5FDJtdE2jk,,0,-6.4141536,-1.5952816,1066996,11171,1326,BuzzFeedVideo,0.0003215572140816343
jJaymuewPYw,,0,-6.4141536,-1.5952816,1033365,19273,1987,Dale Philip,0.00046447153145124943
8AoRrFwRcZc,,0,-6.4141536,-1.5952816,277038,9348,1200,Travel with Luke Damant,0.0003483536485884371
jqKQfexB7To,,0,-6.4141536,-1.5952816,54962,1957,163,Ken Abroad,0.00015482384381708316
SvVELQ6_7PI,,0,-6.4141536,-1.5952816,447611,15098,660,BuzzFeedOz,0.0010450609457653113
naba_kFPCcY,,0,-6.4141536,-1.5952816,174368,13618,162,Jeanelleats,0.0005971776832944636
oCjN8zrUzFM,,0,-6.4141536,-1.5952816,550214,12037,635,Mark Wiens,0.00041802437830612457
QXPDs1zcN_Y,,0,-6.4141536,-1.5952816,177644,7686,726,Always Be Changing,0.0002985888416472318
ge_Aax3qguI,,0,-6.4141536,-1.5952816,927978,11710,362,Travis Atreo,0.0013934145943537484
Mxw5bLTK5pk,,0,-6.4141536,-1.5952816,1510149,56471,4309,JREKML,0.0002458966931212497
qX5hBgRIG8Q,,0,-6.4141536,-1.5952816,3100,12,3,blogTO,0.0013934145943537484
WPW7Xsq8toA,,0,-6.4141536,-1.5952816,315544,23499,987,Juwonee,0.0020901218915306227
mBqdFmLnKCE,,0,-6.4141536,-1.5952816,428,62,14,Meows Stories,0.0010450609457653113
vT0d85_9n30,,0,-6.4141536,-1.5952816,424,14,6,Raff De Leon,0.0010450609457653113
NdXV5fzQfB8,,0,-6.4141536,-1.5952816,462071,17853,2973,Beryl Shereshewsky,0.0002458966931212497
4OiOwDh5lKE,,0,-6.4141536,-1.5952816,4968,663,100,Pinoy Planet,4.644715314512495e-05
TvjH_5p7DfE,,0,-6.4141536,-1.5952816,31783,743,114,KATCHUP,0.0020901218915306227
wv0dKyMn3HA,,0,-6.4141536,-1.5952816,717626,34348,2853,emmymade,0.0005971776832944636
Grr_LaehRrk,,0,-6.4141536,-1.5952816,135187,3790,346,Isaac & Andrea Vlogs,0.0013934145943537484
MlGE038jc4k,,0,-6.4141536,-1.5952816,142839,1944,464,Paolo fromTOKYO,0.00041802437830612457
P2bdfCm-FmM,,0,-6.4141536,-1.5952816,94665,5048,363,Dany #gotaworldtosee,0.0006967072971768742
oGuEcctNshI,,0,-6.4141536,-1.5952816,2942040,111524,14634,itsKEVO,0.0002985888416472318
6BzWXEy4t14,,0,-6.4141536,-1.5952816,9247,242,27,Philippine Women,0.0010450609457653113
wira2nf3DFo,,0,-6.4141536,-1.5952816,25614,1757,191,Pinoy Planet,4.644715314512495e-05
BW96eqdLf_I,,0,-6.4141536,-1.5952816,3138,52,0,Tosa Dela Yaun,0.0010450609457653113
